gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041435,detection_pct_0041534,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435
ALG9,,,,no,1.47,1.359,6822,3284,-0.113
ALK,,,,no,0.131,0.085,608,205,-0.627
ALKBH5,,,,no,3.467,2.767,16091,6687,-0.326
ALOX12,,,,no,0.081,0.087,378,210,0.093
ALOX15,,,,no,0.409,0.29,1897,700,-0.497
ALOX5,,,,no,2.944,2.156,13665,5210,-0.45
ALPK1,,,,no,1.917,1.693,8895,4092,-0.179
ALPK3,,,,no,0.413,0.343,1918,829,-0.269
ALPL,,,,no,0.52,0.6,2412,1451,0.208
ALX1,,,,no,0.032,0.073,150,176,1.172
ALYREF,,,,no,6.057,3.903,28111,9434,-0.634
AMACR,,,,no,0.567,0.495,2633,1196,-0.197
AMER1,,,,no,0.74,0.592,3433,1432,-0.32
AMFR,,,,no,3.438,2.55,15955,6163,-0.431
AMIGO1,,,,no,0.45,0.342,2090,827,-0.396
AMIGO3,,,,no,0.173,0.132,805,318,-0.399
AMOT,,,,no,5.042,1.183,23401,2859,-2.092
AMY1A,pancreatic_exocrine,Pancreatic exocrine zymogen / digestive enzyme / regenerating-islet-derived protein; restricted to pancreatic acinar / centroacinar / ductal cells. Not expressed in thymus.,,yes,2.413,2.358,11198,5700,-0.033
ANAPC1,,,,no,3.825,3.491,17751,8438,-0.132
ANGPT1,,,,no,0.517,0.291,2401,704,-0.829
ANGPT2,,,,no,1.659,0.429,7697,1036,-1.952
ANGPTL2,,,,no,0.465,0.931,2156,2251,1.003
ANGPTL3,,,,no,0.163,0.246,756,594,0.593
ANGPTL4,,,,no,0.159,0.079,737,192,-0.999
ANGPTL6,,,,no,1.964,1.026,9113,2480,-0.936
ANGPTL7,,,,no,0.101,0.149,467,359,0.562
ANGPTL8,,,,no,0.037,0.064,172,154,0.782
ANK1,,,,no,0.163,0.142,755,342,-0.201
ANKHD1,,,,no,6.536,5.017,30331,12126,-0.381
ANKK1,,,,no,0.235,0.146,1089,353,-0.684
ANKRD13A,,,,no,7.305,5.738,33903,13868,-0.348
ANKRD13D,,,,no,2.877,2.533,13354,6122,-0.184
ANKRD17,,,,no,3.446,3.455,15992,8351,0.004
ANKRD30A,,,,no,0.423,0.421,1964,1018,-0.007
ANKRD40,,,,no,2.237,1.706,10381,4123,-0.391
ANKRD44,,,,no,3.963,4.242,18391,10253,0.098
ANKRD6,,,,no,0.853,0.91,3960,2199,0.093
ANKS1A,,,,no,3.325,1.919,15430,4638,-0.793
ANKS6,,,,no,1.067,0.871,4953,2105,-0.293
ANKZF1,,,,no,7.148,4.551,33175,10999,-0.651
ANO1,,,,no,0.645,1.192,2993,2880,0.886
ANO3,,,,no,0.133,0.185,615,448,0.484
ANP32E,,,,no,2.649,2.556,12292,6178,-0.051
ANPEP,,,,no,1.506,1.269,6988,3067,-0.247
ANXA10,,,,no,0.063,0.136,291,329,1.118
ANXA2,,,,no,16.021,9.825,74352,23747,-0.705
ANXA3,,,,no,1.519,1.582,7050,3824,0.059
ANXA5,,,,no,11.398,7.963,52896,19245,-0.517
ANXA8,,,,no,3.29,2.039,15267,4928,-0.69
AOAH,,,,no,5.485,4.466,25454,10793,-0.297
AOC3,,,,no,0.599,1.146,2778,2770,0.937
AOX1,,,,no,0.528,0.416,2452,1006,-0.344
AP1B1,,,,no,16.241,9.102,75373,21999,-0.835
AP1M1,,,,no,5.618,4.537,26072,10966,-0.308
AP1S3,,,,no,0.802,0.855,3720,2066,0.093
AP2A1,,,,no,5.695,4.115,26428,9945,-0.469
AP2A2,,,,no,9.949,5.567,46173,13455,-0.838
AP2M1,,,,no,16.272,9.636,75519,23288,-0.756
AP3B2,,,,no,0.393,0.423,1823,1023,0.108
AP3D1,,,,no,10.376,5.752,48155,13901,-0.851
AP3M2,,,,no,0.492,0.442,2282,1069,-0.153
AP5B1,,,,no,2.911,2.945,13512,7118,0.017
APAF1,,,,no,1.167,1.348,5418,3257,0.207
APC,,,,no,0.941,0.989,4368,2390,0.071
APCDD1,,,,no,0.459,0.571,2130,1380,0.315
APELA,,,,no,0.057,0.081,264,196,0.512
APEX1,,,,no,10.997,6.287,51036,15195,-0.807
APEX2,,,,no,1.164,0.855,5400,2067,-0.444
APH1B,,,,no,1.659,1.27,7698,3069,-0.385
API5,,,,no,4.133,3.464,19181,8372,-0.255
APLF,,,,no,1.094,1.015,5075,2453,-0.108
APLN,,,,no,0.035,0.065,161,156,0.896
APLNR,,,,no,0.18,1.132,834,2735,2.655
APMAP,,,,no,3.217,2.529,14928,6113,-0.347
APOB,,,,no,0.034,0.062,159,151,0.867
APOBEC3B,,,,no,0.067,,310,0,
APOBEC3C,,,,no,1.791,1.485,8311,3588,-0.271
APOBEC3D,,,,no,0.631,0.483,2929,1168,-0.385
APOBEC3F,,,,no,0.752,0.642,3492,1551,-0.23
APOBEC3G,,,,no,1.213,1.137,5628,2748,-0.093
APOL1,,,,no,3.382,1.892,15696,4573,-0.838
APOL2,,,,no,4.081,4.157,18938,10048,0.027
APOL3,,,,no,1.349,1.161,6260,2807,-0.216
APOL6,,,,no,5.999,4.737,27842,11448,-0.341
APOM,,,,no,0.253,0.26,1173,628,0.04
APP,,,,no,17.331,11.755,80430,28411,-0.56
APPBP2,,,,no,2.247,1.786,10430,4317,-0.331
APTX,,,,no,2.018,1.94,9365,4689,-0.057
AQP3,nephron_specific,"Specific nephron segment; not in pancreas/LN. Some broadly-expressed kidney genes (e.g., RBP1, KL) deliberately kept.",,yes,6.562,7.759,30454,18752,0.242
AQP4,,,,no,0.046,0.044,215,106,-0.079
AQP5,,,,no,0.042,0.052,194,126,0.319
AQP7,,,,no,1.113,1.291,5166,3121,0.214
AQP8,,,,no,0.125,,578,0,
AQP9,,,,no,0.109,0.144,507,348,0.398
AR,,,,no,0.53,0.436,2462,1054,-0.283
ARC,,,,no,0.044,0.053,202,127,0.272
ARF1,,,,no,7.633,5.798,35426,14013,-0.397
ARF6,,,,no,2.899,2.614,13452,6318,-0.149
ARFIP1,,,,no,1.431,1.467,6643,3545,0.035
ARG1,hepatocyte,Hepatocyte-specific; absent from pancreatic exocrine/endocrine and lymphoid tissues.,,yes,0.171,0.298,793,720,0.802
ARG2,,,,no,0.267,0.208,1237,503,-0.357
ARHGAP35,,,,no,4.411,3.335,20472,8060,-0.404
ARHGAP36,,,,no,0.17,0.127,788,308,-0.414
ARHGEF2,,,,no,9.258,8.688,42966,20998,-0.092
ARHGEF7,,,,no,3.783,1.921,17557,4643,-0.978
ARID1A,,,,no,5.397,4.265,25047,10307,-0.34
ARID3B,,,,no,1.751,1.407,8125,3400,-0.316
ARL4D,,,,no,0.485,0.381,2253,922,-0.348
ARL8B,,,,no,6.16,5.87,28588,14187,-0.07
ARMC5,,,,no,0.838,0.577,3890,1394,-0.539
ARMC7,,,,no,0.687,0.639,3188,1545,-0.104
ARMH3,,,,no,2.462,2.54,11428,6140,0.045
ARNT,,,,no,3.851,3.191,17870,7712,-0.271
ARNTL,,,,no,1.359,1.324,6308,3199,-0.038
ARRB1,,,,no,2.412,3.219,11193,7780,0.417
ARRB2,,,,no,9.649,7.288,44780,17614,-0.405
ARRDC3,,,,no,2.009,3.262,9325,7883,0.699
ART1,,,,no,0.023,,106,0,
ART3,,,,no,0.068,0.096,316,231,0.489
ART4,,,,no,0.061,0.094,283,227,0.623
ARX,pancreatic_islet_TF,"Pancreatic-islet-specific transcription factor or β-cell-restricted transporter. Not expressed in thymus. Pan-neuroendocrine TFs (NEUROD1, ISL1, INSM1, FEV, CHGA, CHGB, SCG2, SCGN) deliberately kept because some are expressed by thymic medullary neuroendocrine-like cells.",,yes,0.03,0.055,139,133,0.878
ASCC2,,,,no,2.021,2.015,9378,4871,-0.004
ASCC3,,,,no,2.478,2.819,11499,6812,0.186
ASCL1,,,,no,2.914,3.607,13524,8717,0.308
ASCL2,,,,no,0.298,0.245,1381,593,-0.278
ASF1B,,,,no,0.155,0.103,719,249,-0.589
ASH2L,,,,no,4.013,2.844,18624,6873,-0.497
ASIC1,,,,no,1.315,1.393,6103,3367,0.083
ASPM,,,,no,0.325,0.285,1508,690,-0.187
ASPN,,,,no,0.183,0.323,847,781,0.824
ASTN2,,,,no,1.108,1.28,5142,3094,0.208
ASXL1,,,,no,4.713,2.969,21871,7176,-0.667
ATAD3A,,,,no,0.875,0.479,4063,1157,-0.871
ATF1,,,,no,1.963,2.076,9110,5017,0.081
ATF2,,,,no,3.756,3.685,17429,8907,-0.027
ATF3,,,,no,0.126,0.293,587,709,1.214
ATF4,,,,no,27.592,20.66,128053,49933,-0.417
ATF6,,,,no,3.759,3.398,17447,8213,-0.146
ATG10,,,,no,0.412,0.455,1912,1100,0.144
ATG16L1,,,,no,2.79,2.486,12948,6008,-0.167
ATG2A,,,,no,1.93,0.981,8959,2371,-0.977
ATG5,,,,no,1.388,1.212,6443,2930,-0.196
ATG7,,,,no,1.501,1.25,6965,3021,-0.264
ATIC,,,,no,5.195,4.109,24109,9931,-0.338
ATL1,,,,no,0.209,0.163,969,395,-0.353
ATL2,,,,no,2.335,2.147,10835,5190,-0.121
ATL3,,,,no,3.23,2.929,14992,7080,-0.141
ATM,,,,no,8.935,8.097,41468,19570,-0.142
ATOH1,,,,no,0.067,0.069,309,167,0.054
ATOH7,,,,no,0.084,0.132,391,320,0.652
ATOH8,,,,no,0.412,0.338,1913,816,-0.288
ATP10D,,,,no,1.862,1.806,8640,4366,-0.043
ATP13A2,,,,no,2.645,2.328,12275,5627,-0.184
ATP1A1,,,,no,13.987,9.437,64914,22807,-0.568
ATP2A2,,,,no,7.083,5.048,32872,12200,-0.489
ATP2B1,,,,no,2.23,2.117,10347,5117,-0.075
ATP5F1A,,,,no,30.627,17.284,142137,41773,-0.825
ATP5F1C,,,,no,6.302,5.052,29248,12211,-0.319
ATP6V1B1,,,,no,0.195,0.153,905,370,-0.349
ATP6V1H,,,,no,2.787,2.265,12933,5475,-0.299
ATP7A,,,,no,1.149,1.123,5333,2715,-0.033
ATP7B,,,,no,0.343,0.257,1593,622,-0.415
ATPAF1,,,,no,0.798,0.712,3705,1720,-0.166
ATPSCKMT,,,,no,0.676,1.099,3138,2656,0.701
ATR,,,,no,1.705,1.691,7911,4087,-0.012
ATRX,,,,no,6.636,5.747,30799,13889,-0.208
ATXN1,,,,no,1.25,0.95,5803,2297,-0.396
ATXN1L,,,,no,1.459,1.463,6769,3536,0.004
ATXN2,,,,no,3.073,3.28,14261,7928,0.094
ATXN2L,,,,no,9.071,8.47,42099,20470,-0.099
ATXN3,,,,no,3.633,3.969,16859,9593,0.128
ATXN7L2,,,,no,0.551,0.446,2558,1079,-0.304
AUNIP,,,,no,0.091,0.139,424,335,0.601
AURKA,,,,no,0.408,0.389,1892,941,-0.066
AURKB,,,,no,0.494,0.325,2291,786,-0.602
AURKC,,,,no,0.311,0.432,1442,1043,0.474
AVPR1A,,,,no,0.327,0.422,1516,1019,0.368
AVPR1B,,,,no,0.065,0.102,303,247,0.646
AVPR2,,,,no,0.27,0.203,1253,490,-0.413
AXIN1,,,,no,7.513,4.483,34865,10834,-0.745
AXIN2,,,,no,1.464,1.203,6792,2908,-0.283
AXL,,,,no,6.489,5.295,30115,12798,-0.293
B2M,,,,no,63.118,52.943,292926,127957,-0.254
B3GAT1,,,,no,0.183,0.141,847,340,-0.376
B4GAT1,,,,no,1.108,1.078,5140,2605,-0.039
BAALC,,,,no,0.441,0.275,2047,665,-0.681
BAAT,hepatocyte,Hepatocyte-specific; absent from pancreatic exocrine/endocrine and lymphoid tissues.,,yes,0.023,0.05,109,121,1.092
BACE1,,,,no,0.78,0.704,3620,1702,-0.147
BACE2,,,,no,1.953,1.783,9063,4309,-0.131
BACH2,,,,no,5.349,3.852,24823,9310,-0.474
BAD,,,,no,1.013,0.479,4702,1158,-1.08
BAG2,,,,no,0.323,0.415,1499,1004,0.363
BAG3,,,,no,2.143,1.425,9946,3444,-0.589
BAG6,,,,no,6.758,4.84,31365,11697,-0.482
BAIAP2,,,,no,2.933,0.989,13614,2390,-1.569
BAK1,,,,no,1.89,2.317,8771,5601,0.294
BANK1,,,,no,2.031,1.507,9424,3642,-0.43
BAP1,,,,no,5.634,3.367,26146,8137,-0.743
BARD1,,,,no,0.697,0.472,3233,1141,-0.561
BARHL2,,,,no,0.038,0.056,175,135,0.567
BARX2,,,,no,0.383,0.197,1777,475,-0.962
BATF,,,,no,2.356,1.408,10935,3402,-0.743
BATF3,,,,no,0.808,0.544,3750,1314,-0.572
BAX,,,,no,2.609,1.904,12106,4602,-0.454
BAZ2B,,,,no,1.035,0.928,4804,2242,-0.158
BBC3,,,,no,2.248,0.913,10434,2206,-1.301
BCAM,,,,no,12.516,8.987,58086,21721,-0.478
BCAN,,,,no,0.102,0.091,472,220,-0.16
BCAR1,,,,no,0.287,0.434,1332,1049,0.597
BCAR3,,,,no,1.222,0.902,5672,2180,-0.438
BCAR4,,,,no,0.035,0.061,164,148,0.793
BCAS3,,,,no,1.604,1.614,7442,3902,0.01
BCCIP,,,,no,3.154,2.89,14636,6985,-0.126
BCHE,,,,no,0.199,0.179,925,432,-0.157
BCKDK,,,,no,1.749,1.229,8117,2970,-0.509
BCL10,,,,no,1.649,1.333,7653,3222,-0.307
BCL11A,,,,no,4.179,4.429,19394,10705,0.084
BCL11B,,,,no,3.184,3.17,14778,7662,-0.006
BCL2,,,,no,3.767,2.743,17483,6629,-0.458
BCL2A1,,,,no,0.402,0.518,1864,1251,0.366
BCL2L1,,,,no,5.766,4.478,26759,10823,-0.365
BCL2L11,,,,no,1.843,0.807,8555,1951,-1.191
BCL2L12,,,,no,0.687,0.438,3186,1059,-0.648
BCL2L13,,,,no,3.036,2.412,14090,5830,-0.332
BCL2L2,,,,no,3.394,3.369,15752,8142,-0.011
BCL3,,,,no,1.798,2.747,8345,6638,0.611
BCL6,,,,no,1.846,1.746,8568,4221,-0.08
BCL6B,,,,no,0.29,0.574,1346,1388,0.986
BCL7B,,,,no,1.606,1.223,7455,2956,-0.393
BCL7C,,,,no,0.555,0.592,2574,1432,0.095
BCOR,,,,no,2.014,2.573,9348,6218,0.353
BCORL1,,,,no,1.492,1.416,6923,3423,-0.075
BCR,,,,no,7.033,4.576,32640,11060,-0.62
BDKRB1,,,,no,0.03,0.05,139,121,0.741
BDKRB2,,,,no,0.114,0.177,530,428,0.633
BDNF,,,,no,0.101,0.138,470,333,0.444
BEAN1,,,,no,0.069,0.088,322,212,0.338
BECN1,,,,no,5.496,3.778,25506,9131,-0.541
BEX2,,,,no,1.639,1.212,7605,2929,-0.435
BFSP1,,,,no,0.068,0.123,316,297,0.852
BFSP2,,,,no,0.07,0.104,326,251,0.564
BHMT,hepatocyte,Hepatocyte-specific; absent from pancreatic exocrine/endocrine and lymphoid tissues.,,yes,0.033,0.056,151,136,0.79
BICRAL,,,,no,1.286,1.043,5969,2520,-0.303
BID,,,,no,0.9,1.172,4178,2833,0.381
BIK,,,,no,0.357,0.355,1657,859,-0.007
BIRC2,,,,no,5.748,5.06,26675,12230,-0.184
BIRC5,,,,no,0.559,0.511,2594,1234,-0.131
BIRC7,,,,no,0.136,0.506,631,1223,1.896
BLK,,,,no,2.463,1.449,11430,3501,-0.766
BLM,,,,no,0.189,0.284,876,686,0.589
BLNK,,,,no,1.097,0.938,5091,2267,-0.226
BLOC1S2,,,,no,3.865,3.443,17938,8321,-0.167
BLVRA,,,,no,7.015,3.989,32557,9641,-0.814
BMF,,,,no,4.771,3.45,22142,8339,-0.468
BMI1,,,,no,3.602,3.976,16718,9609,0.142
BMP2,,,,no,0.232,0.248,1078,600,0.096
BMP2K,,,,no,4.962,3.926,23028,9488,-0.338
BMP4,,,,no,0.319,0.374,1479,903,0.229
BMP5,,,,no,0.146,0.198,678,478,0.437
BMP6,,,,no,0.255,0.257,1183,620,0.009
BMP7,,,,no,0.723,1.042,3357,2518,0.526
BMP8A,,,,no,0.243,0.213,1130,516,-0.19
BMP8B,,,,no,0.058,0.062,271,150,0.088
BMPER,,,,no,0.199,0.902,922,2181,2.183
BMPR1A,,,,no,1.105,1.11,5127,2683,0.007
BMPR1B,,,,no,0.04,0.056,185,135,0.487
BMPR2,,,,no,4.503,3.858,20896,9325,-0.223
BNC1,,,,no,0.8,0.793,3712,1916,-0.013
BNC2,,,,no,0.987,0.79,4581,1909,-0.322
BNIP3,,,,no,1.782,0.819,8272,1980,-1.121
BOLL,spermatogenesis,Spermatogenic / testis-only expression; absent from pancreas/LN tissues.,,yes,0.218,0.36,1012,871,0.725
BRAF,,,,no,4.781,4.622,22187,11172,-0.049
BRCA1,,,,no,0.335,0.46,1556,1111,0.455
BRCA2,,,,no,0.598,0.417,2774,1007,-0.521
BRD3,,,,no,3.178,2.216,14748,5355,-0.52
BRD4,,,,no,14.242,10.398,66098,25131,-0.454
BRDT,,,,no,0.109,0.218,507,526,0.994
BRI3BP,,,,no,1.714,1.398,7954,3380,-0.293
BRINP1,,,,no,0.256,0.176,1188,425,-0.542
BRIP1,,,,no,0.488,0.446,2263,1077,-0.13
BRIX1,,,,no,1.926,2.189,8940,5291,0.185
BRSK2,,,,no,0.051,,235,0,
BSDC1,,,,no,3.303,2.789,15329,6741,-0.244
BST1,,,,no,0.409,0.789,1897,1908,0.95
BTAF1,,,,no,4.714,4.584,21877,11078,-0.04
BTBD9,,,,no,2.654,1.967,12318,4753,-0.433
BTK,,,,no,2.919,2.369,13545,5725,-0.301
BTLA,,,,no,3.09,1.728,14339,4176,-0.838
