gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio
ADAR,,,no,True,ENSG00000160710,Double-stranded RNA-specific adenosine deaminase (DRADA),Cytoplasm,epithelial cell;endothelial cell;endothelial cell of vascular tree;IgA plasmablast,,14.564,11.289,14.564,67589,27283,-0.368
ADCY2,,,no,True,ENSG00000078295,Adenylate cyclase type 2,Membrane,smooth muscle cell of prostate;astrocyte;Bergmann glial cell;mature astrocyte;retina horizontal cell,,0.366,0.169,0.366,1700,408,-1.118
ADGRG6,,,no,True,ENSG00000112414,Adhesion G-protein coupled receptor G6 (Developmentally regulated G-protein-coupled receptor) (G-protein coupled receptor 126) (Vascular inducible G protein-coupled receptor),Cell membrane,brush cell;intestinal tuft cell;tuft cell of colon;parietal epithelial cell;muscle cell;smooth muscle cell,ADGRG,1.235,0.832,1.235,5732,2011,-0.57
ADGRL4,,,no,True,ENSG00000162618,"Adhesion G protein-coupled receptor L4 (EGF, latrophilin and seven transmembrane domain-containing protein 1) (EGF-TM7-latrophilin-related protein) (ETL protein)",Cell membrane,epithelial cell;squamous epithelial cell;blood vessel endothelial cell;endothelial tip cell;vein endothelial cell;endothelial cell of umbilical vein;vasa recta ascending limb cell;vasa recta descending limb cell;retinal blood vessel endothelial cell;endothelial cell of artery;kidney capillary endothelial cell;glomerular capillary endothelial cell;capillary endothelial cell;lung microvascular endothelial cell;prostate gland microvascular endothelial cell;lung endothelial cell;fenestrated cell;glomerular endothelial cell;endothelial cell;endothelial cell of vascular tree;endothelial cell of sinusoid;endothelial cell of hepatic sinusoid;endothelial cell of pericentral hepatic sinusoid;endothelial cell of uterus;cardiac endothelial cell,,0.488,0.51,0.51,2266,1232,0.062
ADM,,,no,True,ENSG00000148926,Pro-adrenomedullin,Secreted,glomerular capillary endothelial cell;trophoblast giant cell;extravillous trophoblast;myeloid cell;fibroblast of breast;white fat cell,CALCR;ADM,1.22,0.758,1.22,5664,1833,-0.686
ADRA2A,,,no,True,ENSG00000150594,Alpha-2A adrenergic receptor (Alpha-2 adrenergic receptor subtype C10) (Alpha-2A adrenoreceptor) (Alpha-2A adrenoceptor) (Alpha-2AAR),Cell membrane,vascular associated smooth muscle cell;mural cell,Adrenaline;Noradrenaline,0.18,0.392,0.392,837,948,1.121
ADRA2C,,,no,True,ENSG00000184160,Alpha-2C adrenergic receptor (Alpha-2 adrenergic receptor subtype C4) (Alpha-2C adrenoreceptor) (Alpha-2C adrenoceptor) (Alpha-2CAR),Cell membrane,uterine smooth muscle cell;myometrial cell;smooth muscle cell of prostate;myofibroblast cell;stromal cell;stromal cell of ovary;pericyte;mural cell,Adrenaline;Noradrenaline,0.268,0.163,0.268,1242,393,-0.719
AEBP1,,,no,True,ENSG00000106624,Adipocyte enhancer-binding protein 1 (AE-binding protein 1) (Aortic carboxypeptidase-like protein),Cytoplasm,"preosteoblast;bronchial smooth muscle cell;smooth muscle cell of prostate;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;immature T cell;connective tissue cell;fibroblast;keratocyte;reticular cell;pancreatic stellate cell;fibroblast of mammary gland;skin fibroblast;fibroblast of connective tissue of glandular part of prostate;fibroblast of breast;tendon cell;adventitial cell",,2.214,2.193,2.214,10277,5300,-0.014
AGXT,,,no,True,ENSG00000172482,Alanine--glyoxylate aminotransferase (AGT),Peroxisome,hepatoblast;hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;endothelial cell of sinusoid;endothelial cell of hepatic sinusoid;endothelial cell of pericentral hepatic sinusoid;hepatic stellate cell,,0.051,0.07,0.07,238,168,0.439
ALCAM,,,no,True,ENSG00000170017,CD166 antigen (Activated leukocyte cell adhesion molecule) (CD antigen CD166),Cell membrane,corneal endothelial cell;neuroendocrine cell;chromaffin cell;type I pneumocyte;lung goblet cell;pancreatic A cell;visceromotor neuron;sebaceous gland cell,CD6,2.496,1.287,2.496,11583,3110,-0.956
ANGPT2,,,no,True,ENSG00000091879,Angiopoietin-2 (ANG-2),Secreted,squamous epithelial cell;blood vessel endothelial cell;vein endothelial cell;endothelial cell of umbilical vein;endothelial cell of artery;capillary endothelial cell;prostate gland microvascular endothelial cell;medullary thymic epithelial cell;endothelial cell;endothelial cell of vascular tree;endothelial cell of lymphatic vessel;endothelial cell of uterus;surface ectodermal cell;muscle cell;smooth muscle cell;trophoblast giant cell,ANGPT,1.659,0.429,1.659,7697,1036,-1.952
ANGPTL4,,,no,True,ENSG00000167772,Angiopoietin-related protein 4 (Angiopoietin-like protein 4) (Hepatic fibrinogen/angiopoietin-related protein) (HFARP),Secreted,endothelial tip cell;respiratory epithelial cell;epithelial cell of lower respiratory tract;club cell;mature astrocyte;subcutaneous fat cell;epicardial adipocyte,ANGPTL,0.159,0.079,0.159,737,192,-0.999
ANKS1A,,,no,True,ENSG00000064999,Ankyrin repeat and SAM domain-containing protein 1A (Odin),Cytoplasm;Cell projection,endothelial cell of sinusoid;endothelial cell of hepatic sinusoid;endothelial cell of pericentral hepatic sinusoid;hepatic stellate cell,,3.325,1.919,3.325,15430,4638,-0.793
ANO3,,,no,True,ENSG00000134343,Anoctamin-3 (Transmembrane protein 16C),Cell membrane,renal interstitial pericyte;kidney interstitial cell,,0.133,0.185,0.185,615,448,0.484
AOC3,,,no,True,ENSG00000131471,Membrane primary amine oxidase,Cell membrane,smooth muscle cell;vascular associated smooth muscle cell;tracheobronchial smooth muscle cell;bronchial smooth muscle cell;pulmonary interstitial fibroblast;pericyte;mural cell,,0.599,1.146,1.146,2778,2770,0.937
APCDD1,,,no,True,ENSG00000154856,Protein APCDD1 (Adenomatosis polyposis coli down-regulated 1 protein),Cell membrane,endothelial cell of uterus;endocardial cell;cerebral cortex endothelial cell;skin fibroblast;stromal cell;stromal cell of ovary,,0.459,0.571,0.571,2130,1380,0.315
APLN,,,no,True,ENSG00000171388,Apelin (APJ endogenous ligand),Secreted,squamous epithelial cell;blood vessel endothelial cell;vein endothelial cell;endothelial cell of umbilical vein;endothelial cell of vascular tree;cerebral cortex endothelial cell,APELIN,0.035,0.065,0.065,161,156,0.896
APLNR,,,no,True,ENSG00000134817,Apelin receptor (Angiotensin receptor-like 1) (G-protein coupled receptor APJ) (G-protein coupled receptor HG11),Cell membrane,endothelial tip cell;glomerular capillary endothelial cell;fenestrated cell;glomerular endothelial cell;endothelial cell;gut endothelial cell,APELIN;APJ,0.18,1.132,1.132,834,2735,2.655
APOB,,,no,True,ENSG00000084674,Apolipoprotein B-100 (Apo B-100),Cytoplasm,hepatoblast;epithelial cell;ciliated epithelial cell;enterocyte;enterocyte of epithelium of large intestine;enterocyte of colon;enterocyte of epithelium of small intestine;enterocyte of epithelium proper of ileum;cholangiocyte;intrahepatic cholangiocyte;columnar/cuboidal epithelial cell;hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;M cell of gut;intestinal epithelial cell;epithelial cell of large intestine;colon epithelial cell;epithelial cell of small intestine;endothelial cell of sinusoid;endothelial cell of hepatic sinusoid;endothelial cell of pericentral hepatic sinusoid;Kupffer cell;hepatic stellate cell,ApoB,0.034,0.062,0.062,159,151,0.867
APOL3,,,no,True,ENSG00000128284,Apolipoprotein L3 (Apolipoprotein L-III) (ApoL-III) (TNF-inducible protein CG12-1) (CG12_1),Cytoplasm,vasa recta descending limb cell;fenestrated cell;glomerular endothelial cell,,1.349,1.161,1.349,6260,2807,-0.216
APP,,,no,True,ENSG00000142192,Amyloid-beta precursor protein (APP) (ABPP) (APPI) (Alzheimer disease amyloid A4 protein homolog) (Alzheimer disease amyloid protein) (Amyloid precursor protein) (Amyloid-beta (A4) precursor protein) (Amyloid-beta A4 protein) (Cerebral vascular amyloid peptide) (CVAP) (PreA4) (Protease nexin-II) (PN-II),Cell membrane,epithelial cell;lens epithelial cell;anterior lens cell;endothelial tip cell;kidney capillary endothelial cell;glomerular capillary endothelial cell;lung endothelial cell;type B pancreatic cell;fenestrated cell;glomerular endothelial cell;endothelial cell;endothelial cell of vascular tree;kidney loop of Henle thin ascending limb epithelial cell;surface ectodermal cell,APP,17.331,11.755,17.331,80430,28411,-0.56
ARHGEF7,,,no,True,ENSG00000102606,Rho guanine nucleotide exchange factor 7 (Beta-Pix) (COOL-1) (PAK-interacting exchange factor beta) (p85),Cell junction,smooth muscle myoblast;renal interstitial pericyte,,3.783,1.921,3.783,17557,4643,-0.978
ASPN,,,no,True,ENSG00000106819,Asporin (Periodontal ligament-associated protein 1) (PLAP-1),Secreted,interstitial cell of Cajal;endocardial cell;mesodermal cell;muscle cell;smooth muscle cell;skin fibroblast;myofibroblast cell;tendon cell;chondrocyte;mesenchymal cell,,0.183,0.323,0.323,847,781,0.824
ATF3,,,no,True,ENSG00000162772,Cyclic AMP-dependent transcription factor ATF-3 (cAMP-dependent transcription factor ATF-3) (Activating transcription factor 3),Nucleus,ileal goblet cell;paneth cell of epithelium of small intestine;duodenum glandular cell;epithelial cell of uterus;vascular associated smooth muscle cell,,0.126,0.293,0.293,587,709,1.214
ATP2A2,,,no,True,ENSG00000174437,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 (SERCA2) (SR Ca(2+)-ATPase 2),Endoplasmic reticulum membrane,muscle cell;cardiac muscle cell;regular atrial cardiac myocyte;regular ventricular cardiac myocyte;slow muscle cell;smooth muscle cell of sphincter of pupil;ciliary muscle cell;muscle precursor cell;cardiac muscle myoblast,,7.083,5.048,7.083,32872,12200,-0.489
AVPR1A,,,no,True,ENSG00000166148,Vasopressin V1a receptor (V1aR) (AVPR V1a) (Antidiuretic hormone receptor 1a) (Vascular/hepatic-type arginine vasopressin receptor),Cell membrane,smooth muscle cell;vascular associated smooth muscle cell;uterine smooth muscle cell;smooth muscle cell of prostate;pericyte;mural cell,AVP,0.327,0.422,0.422,1516,1019,0.368
BAG2,,,no,True,ENSG00000112208,BAG family molecular chaperone regulator 2 (BAG-2) (Bcl-2-associated athanogene 2),,uterine smooth muscle cell,,0.323,0.415,0.415,1499,1004,0.363
BCAM,,,no,True,ENSG00000187244,Basal cell adhesion molecule (Auberger B antigen) (B-CAM cell surface glycoprotein) (F8/G253 antigen) (Lutheran antigen) (Lutheran blood group glycoprotein) (CD antigen CD239),Membrane,basal cell of epithelium of trachea;lung neuroendocrine cell;blood vessel endothelial cell;vasa recta descending limb cell;epithelial cell of alveolus of lung;pneumocyte;type I pneumocyte;pancreatic PP cell;pancreatic epsilon cell;PP cell;fallopian tube secretory epithelial cell;club cell;endothelial cell of uterus;kidney loop of Henle thin ascending limb epithelial cell;kidney glomerular epithelial cell;parietal epithelial cell;ovarian surface epithelial cell;placental villous trophoblast,,12.516,8.987,12.516,58086,21721,-0.478
BCHE,,,no,True,ENSG00000114200,Cholinesterase,Secreted,glioblast;Schwann cell precursor;neural crest cell;interstitial cell of Cajal;tracheobronchial smooth muscle cell;neuron,,0.199,0.179,0.199,925,432,-0.157
BCL6B,,,no,True,ENSG00000161940,B-cell CLL/lymphoma 6 member B protein (Bcl6-associated zinc finger protein) (Zinc finger protein 62),Nucleus,squamous epithelial cell;vein endothelial cell;endothelial cell of umbilical vein,,0.29,0.574,0.574,1346,1388,0.986
BMP2,,,no,True,ENSG00000125845,Bone morphogenetic protein 2 (BMP-2) (Bone morphogenetic protein 2A) (BMP-2A),Secreted,endothelial cell of lymphatic vessel,BMP,0.232,0.248,0.248,1078,600,0.096
BMP5,,,no,True,ENSG00000112175,Bone morphogenetic protein 5 (BMP-5),Secreted,fibroblast;pulmonary interstitial fibroblast;alveolar type 2 fibroblast cell;chondrocyte;pericyte,BMP,0.146,0.198,0.198,678,478,0.437
BMP6,,,no,True,ENSG00000153162,Bone morphogenetic protein 6 (BMP-6) (VG-1-related protein) (VG-1-R) (VGR-1),Secreted,cardiac endothelial cell,BMP,0.255,0.257,0.257,1183,620,0.009
BMPER,,,no,True,ENSG00000164619,BMP-binding endothelial regulator protein (Bone morphogenetic protein-binding endothelial cell precursor-derived regulator) (Protein crossveinless-2) (hCV2),Secreted,endothelial cell of sinusoid;endothelial cell of hepatic sinusoid;endothelial cell of pericentral hepatic sinusoid;endocardial cell;skeletal muscle fibroblast;preadipocyte;white fat cell;chondrocyte,,0.199,0.902,0.902,922,2181,2.183
BMPR1A,,,no,True,ENSG00000107779,Bone morphogenetic protein receptor type-1A (BMP type-1A receptor) (BMPR-1A),Cell membrane,smooth muscle cell of sphincter of pupil;ciliary muscle cell,BMP;AMH,1.105,1.11,1.11,5127,2683,0.007
BMPR2,,,no,True,ENSG00000204217,Bone morphogenetic protein receptor type-2 (BMP type-2 receptor) (BMPR-2),Cell membrane,epithelial cell;lung endothelial cell;endothelial cell;endothelial cell of vascular tree;cardiac endothelial cell,BMP;BMP10;GDF,4.503,3.858,4.503,20896,9325,-0.223
C1QTNF1,,,no,True,ENSG00000173918,Complement C1q tumor necrosis factor-related protein 1 (G protein-coupled receptor-interacting protein) (GIP),Secreted,preosteoblast;vascular associated smooth muscle cell;osteoblast,,0.858,0.825,0.858,3983,1993,-0.058
C4A,,,no,True,ENSG00000244731,Complement C4-A (Acidic complement C4) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 2),Secreted;Synapse,uterine smooth muscle cell;stromal cell;stromal cell of ovary,COMPLEMENT,5.521,3.202,5.521,25624,7739,-0.786
C4B,,,no,True,ENSG00000224389,Complement C4-B (Complement C4B (Chido blood group)),Secreted,uterine smooth muscle cell;stromal cell;stromal cell of ovary,,4.893,1.426,4.893,22710,3447,-1.779
CA12,,,no,True,ENSG00000074410,Carbonic anhydrase 12,Membrane,kidney collecting duct epithelial cell;kidney collecting duct intercalated cell;corneal endothelial cell;renal intercalated cell;renal beta-intercalated cell;renal alpha-intercalated cell;kidney distal convoluted tubule epithelial cell;kidney loop of Henle ascending limb epithelial cell;kidney loop of Henle thick ascending limb epithelial cell;kidney loop of Henle thin ascending limb epithelial cell;kidney epithelial cell;kidney cortex tubule cell;kidney connecting tubule epithelial cell;epithelial cell of nephron;kidney loop of Henle epithelial cell;mesothelial fibroblast;kidney cell;kidney collecting duct cell,,0.133,0.131,0.133,618,317,-0.022
CA4,,,no,True,ENSG00000167434,Carbonic anhydrase 4,Cell membrane,vasa recta ascending limb cell;capillary endothelial cell;paneth cell;paneth cell of colon;epithelial cell of large intestine;colon epithelial cell;kidney loop of Henle thin ascending limb epithelial cell,,0.309,0.197,0.309,1436,476,-0.652
CACNA1C,,,no,True,ENSG00000151067,"Voltage-dependent L-type calcium channel subunit alpha-1C (Calcium channel, L type, alpha-1 polypeptide, isoform 1, cardiac muscle) (Voltage-gated calcium channel subunit alpha Cav1.2)",Cell membrane,pigmented epithelial cell;pigmented ciliary epithelial cell;muscle cell;cardiac muscle cell;regular atrial cardiac myocyte;regular ventricular cardiac myocyte;smooth muscle cell of sphincter of pupil;muscle precursor cell;smooth muscle myoblast;cardiac muscle myoblast;retina horizontal cell;alveolar type 2 fibroblast cell;fibroblast of cardiac tissue;kidney interstitial fibroblast;renal interstitial pericyte;kidney interstitial cell,,0.325,0.306,0.325,1509,740,-0.087
CALCRL,,,no,True,ENSG00000064989,Calcitonin gene-related peptide type 1 receptor (CGRP type 1 receptor) (Calcitonin receptor-like receptor),Cell membrane,epithelial cell;squamous epithelial cell;blood vessel endothelial cell;endothelial tip cell;vein endothelial cell;retinal blood vessel endothelial cell;lung microvascular endothelial cell;prostate gland microvascular endothelial cell;lung endothelial cell;endothelial cell;gut endothelial cell;endothelial cell of vascular tree;endothelial cell of lymphatic vessel;dermis microvascular lymphatic vessel endothelial cell;endothelial cell of uterus;cardiac endothelial cell;endocardial cell;surface ectodermal cell;neuron;medium spiny neuron,CALCR;ADM;CALC;IAPP,0.707,0.782,0.782,3279,1890,0.146
CAV2,,,no,True,ENSG00000105971,Caveolin-2,Nucleus;Cytoplasm;Golgi apparatus membrane,pancreatic ductal cell;myoepithelial cell;myoepithelial cell of mammary gland;endothelial cell of artery;capillary endothelial cell;mesothelial cell of pleura;type I pneumocyte;bronchial smooth muscle cell;brown fat cell;adipocyte of breast,,0.711,0.732,0.732,3302,1768,0.04
CAVIN2,,,no,True,ENSG00000168497,Caveolae-associated protein 2 (Cavin-2) (PS-p68) (Phosphatidylserine-binding protein) (Serum deprivation-response protein),Cytoplasm,squamous epithelial cell;blood vessel endothelial cell;endothelial tip cell;vasa recta ascending limb cell;vasa recta descending limb cell;retinal blood vessel endothelial cell;endothelial cell of artery;kidney capillary endothelial cell;glomerular capillary endothelial cell;capillary endothelial cell;lung microvascular endothelial cell;type I pneumocyte;lung endothelial cell;fenestrated cell;glomerular endothelial cell;endothelial cell;gut endothelial cell;endothelial cell of vascular tree;endothelial cell of lymphatic vessel;endothelial cell of uterus;surface ectodermal cell;platelet;peripheral blood mononuclear cell;megakaryocyte-erythroid progenitor cell;megakaryocyte,,0.485,0.353,0.485,2253,853,-0.46
CAVIN3,,,no,True,ENSG00000170955,Caveolae-associated protein 3 (Cavin-3) (Protein kinase C delta-binding protein) (Serum deprivation response factor-related gene product that binds to C-kinase) (hSRBC),Cytoplasm,vasa recta descending limb cell;cerebral cortex endothelial cell;endosteal cell;follicular dendritic cell;smooth muscle cell;vascular associated smooth muscle cell;smooth muscle fiber of ileum;myometrial cell;bronchial smooth muscle cell;reticular cell;pancreatic stellate cell,,0.985,0.758,0.985,4569,1832,-0.377
CCDC102B,,,no,True,ENSG00000150636,Coiled-coil domain-containing protein 102B,Cytoplasm,smooth muscle myoblast;pulmonary interstitial fibroblast;alveolar type 2 fibroblast cell;kidney interstitial fibroblast;pericyte;renal interstitial pericyte;mural cell;kidney interstitial cell,,0.154,0.22,0.22,715,531,0.512
CCDC80,,,no,True,ENSG00000091986,Coiled-coil domain-containing protein 80 (Down-regulated by oncogenes protein 1) (Up-regulated in BRS-3 deficient mouse homolog),Secreted,ciliated columnar cell of tracheobronchial tree;ciliated cell of the bronchus;mesothelial cell of pleura;endosteal cell;muscle cell;smooth muscle cell;connective tissue cell;fibroblast;reticular cell;preadipocyte;brown preadipocyte;fibroblast of lung;fibroblast of mammary gland;skin fibroblast;fibroblast of connective tissue of nonglandular part of prostate;mesothelial fibroblast;brown fat cell;tendon cell;adventitial cell;inflammatory cell,,1.245,0.832,1.245,5780,2012,-0.581
CCL14,,,no,True,ENSG00000276409,C-C motif chemokine 14 (Chemokine CC-1/CC-3) (HCC-1/HCC-3) (HCC-1(1-74)) (NCC-2) (Small-inducible cytokine A14),Secreted,epithelial cell;squamous epithelial cell;blood vessel endothelial cell;vein endothelial cell;vasa recta ascending limb cell;retinal blood vessel endothelial cell;kidney capillary endothelial cell;lung microvascular endothelial cell;prostate gland microvascular endothelial cell;lung endothelial cell;basal cell of prostate epithelium;endothelial cell;endothelial cell of vascular tree;endothelial cell of lymphatic vessel;endothelial cell of uterus,CCL,2.418,1.408,2.418,11221,3403,-0.78
CCL19,,,no,True,ENSG00000172724,C-C motif chemokine 19 (Beta-chemokine exodus-3) (CK beta-11) (Epstein-Barr virus-induced molecule 1 ligand chemokine) (EBI1 ligand chemokine) (ELC) (Macrophage inflammatory protein 3 beta) (MIP-3-beta) (Small-inducible cytokine A19),Secreted,epithelial cell of thymus;cortical thymic epithelial cell;medullary thymic epithelial cell;follicular dendritic cell;smooth muscle cell of prostate;connective tissue cell;fibroblast;fibroblast of lung;pericyte;mural cell;inflammatory cell,CCL,4.95,7.824,7.824,22972,18910,0.661
CCL21,,,no,False,,,,,,0.79,0.616,0.79,3664,1490,-0.357
CCL23,,,no,True,ENSG00000274736,C-C motif chemokine 23 (CK-beta-8) (CKB-8) (Macrophage inflammatory protein 3) (MIP-3) (Myeloid progenitor inhibitory factor 1) (MPIF-1) (Small-inducible cytokine A23),Secreted,endothelial cell of uterus,CCL,0.108,0.137,0.137,502,332,0.345
CCL8,,,no,True,ENSG00000108700,C-C motif chemokine 8 (HC14) (Monocyte chemoattractant protein 2) (Monocyte chemotactic protein 2) (MCP-2) (Small-inducible cytokine A8),Secreted,vasa recta descending limb cell;vascular associated smooth muscle cell;pericyte;mural cell,CCL,0.089,0.257,0.257,415,620,1.52
CCN1,,,no,True,ENSG00000142871,CCN family member 1 (Cellular communication network factor 1) (Cysteine-rich angiogenic inducer 61) (Insulin-like growth factor-binding protein 10) (IBP-10) (IGF-binding protein 10) (IGFBP-10) (Protein CYR61) (Protein GIG1),Secreted,glioblast;Schwann cell precursor;skeletal muscle satellite stem cell;myoepithelial cell;myoepithelial cell of mammary gland;epithelial cell of uterus;basal cell of prostate epithelium;uterine smooth muscle cell;tracheobronchial smooth muscle cell;skeletal muscle satellite cell;decidual cell;tendon cell;theca cell,,0.187,0.302,0.302,869,731,0.692
CCN2,,,no,True,ENSG00000118523,CCN family member 2 (Cellular communication network factor 2) (Connective tissue growth factor) (Hypertrophic chondrocyte-specific protein 24) (Insulin-like growth factor-binding protein 8) (IBP-8) (IGF-binding protein 8) (IGFBP-8),Secreted,multi-ciliated epithelial cell;ciliated columnar cell of tracheobronchial tree;ciliated cell of the bronchus;endothelial cell of umbilical vein;pancreatic PP cell;PP cell;endothelial cell of uterus;kidney glomerular epithelial cell;parietal epithelial cell;enteric smooth muscle cell;glutamatergic neuron;tendon cell,,1.489,1.559,1.559,6909,3769,0.067
CCN3,,,no,True,ENSG00000136999,CCN family member 3 (Cellular communication network factor 3) (Insulin-like growth factor-binding protein 9) (IBP-9) (IGF-binding protein 9) (IGFBP-9) (Nephro blastoma-overexpressed gene protein homolog) (Protein NOV homolog) (NovH),Secreted;Cytoplasm,endosteal cell;bronchial smooth muscle cell,,0.089,0.105,0.105,412,253,0.238
CCN4,,,no,True,ENSG00000104415,CCN family member 4 (WNT1-inducible-signaling pathway protein 1) (WISP-1) (Wnt-1-induced secreted protein),Secreted,myofibroblast cell;renal interstitial pericyte;kidney interstitial cell,,0.161,0.182,0.182,747,440,0.178
CCN5,,,no,True,ENSG00000064205,CCN family member 5 (Connective tissue growth factor-like protein) (CTGF-L) (Connective tissue growth factor-related protein 58) (WNT1-inducible-signaling pathway protein 2) (WISP-2),Secreted,stem cell;mesenchymal stem cell;smooth muscle cell;myometrial cell;bronchial smooth muscle cell;skeletal muscle fibroblast;connective tissue cell;fibroblast;keratocyte;reticular cell;fibroblast of mammary gland;skin fibroblast;stromal cell;tendon cell;theca cell;adventitial cell;inflammatory cell,,,0.17,0.17,0,410,
CD151,,,no,True,ENSG00000177697,CD151 antigen (GP27) (Membrane glycoprotein SFA-1) (Platelet-endothelial tetraspan antigen 3) (PETA-3) (Tetraspanin-24) (Tspan-24) (CD antigen CD151),Membrane,pancreatic ductal cell;myometrial cell;bronchial smooth muscle cell,,1.782,1.586,1.782,8272,3832,-0.169
